country,response to russia
Afghanistan,NEUTRAL
Albania,
Algeria,LEANS RUSSIA
Angola,LEANS RUSSIA
Argentina,UNHAPPY
Armenia,
Australia,CONDEMNS RUSSIA
Austria,CONDEMNS RUSSIA
Azerbaijan,NEUTRAL
Bahrain,
Bangladesh,NEUTRAL
Belarus,PRO RUSSIA
Belgium,CONDEMNS RUSSIA
Belize,UNHAPPY
Benin,UNHAPPY
Bhutan,UNHAPPY
Bolivia,NEUTRAL
Bosnia and Herzegovina,CONDEMNS RUSSIA
Botswana,UNHAPPY
Brazil,NEUTRAL
Bulgaria,CONDEMNS RUSSIA
Burkina Faso,LEANS RUSSIA
Burundi,
Cambodia,UNHAPPY
Cameroon,NEUTRAL
Canada,CONDEMNS RUSSIA
Central African Republic,LEANS RUSSIA
Chad,UNHAPPY
Chile,UNHAPPY
China,LEANS RUSSIA
Colombia,CONDEMNS RUSSIA
Republic of the Congo,LEANS RUSSIA
Costa Rica,UNHAPPY
Cote d'Ivoire,UNHAPPY
Croatia,CONDEMNS RUSSIA
Cuba,PRO RUSSIA
Cyprus,CONDEMNS RUSSIA
Northern Cyprus, CONDEMNS RUSSIA
Czech Republic,CONDEMNS RUSSIA
Denmark,CONDEMNS RUSSIA
Djibouti,
Dominican Republic,UNHAPPY
Democratic Republic of the Congo,
Ecuador,UNHAPPY
Egypt,NEUTRAL
El Salvador,UNHAPPY
Equatorial Guinea,
Eritrea,PRO RUSSIA
Estonia,CONDEMNS RUSSIA
Eswatini,UNHAPPY
Ethiopia,LEANS RUSSIA
Finland,CONDEMNS RUSSIA
France,CONDEMNS RUSSIA
Gabon,UNHAPPY
Gambia,
Georgia,
Germany,CONDEMNS RUSSIA
Ghana,UNHAPPY
Greece,CONDEMNS RUSSIA
Guatemala,UNHAPPY
Guinea,NEUTRAL
Guinea Bissau,
Guyana,UNHAPPY
Haiti,UNHAPPY
Honduras,UNHAPPY
Hong Kong,LEANS RUSSIA
Hungary,CONDEMNS RUSSIA
Iceland,CONDEMNS RUSSIA
India,NEUTRAL
Indonesia,UNHAPPY
Iran,LEANS RUSSIA
Iraq,NEUTRAL
Ireland,CONDEMNS RUSSIA
Israel,CONDEMNS RUSSIA
Italy,CONDEMNS RUSSIA
Jamaica,UNHAPPY
Japan,CONDEMNS RUSSIA
Jordan,UNHAPPY
Kazakhstan,LEANS RUSSIA
Kenya,UNHAPPY
Kosovo,CONDEMNS RUSSIA
Kuwait,UNHAPPY
Kyrgyzstan,LEANS RUSSIA
Laos,LEANS RUSSIA
Latvia,CONDEMNS RUSSIA
Lebanon,
Lesotho,
Liberia,UNHAPPY
Libya,UNHAPPY
Lithuania,
Luxembourg,CONDEMNS RUSSIA
Madagascar,LEANS RUSSIA
Malawi,UNHAPPY
Malaysia,UNHAPPY
Mali,LEANS RUSSIA
Mauritania,UNHAPPY
Mauritius,
Mexico,UNHAPPY
Moldova,UNHAPPY
Mongolia,NEUTRAL
Morocco,NEUTRAL
Mozambique,LEANS RUSSIA
Myanmar,PRO RUSSIA
Namibia,NEUTRAL
Nepal,UNHAPPY
Netherlands,CONDEMNS RUSSIA
New Zealand,CONDEMNS RUSSIA
Nicaragua,PRO RUSSIA
Niger,UNHAPPY
Nigeria,UNHAPPY
North Korea,PRO RUSSIA
Macedonia,
Norway,CONDEMNS RUSSIA
Oman,UNHAPPY
Pakistan,LEANS RUSSIA
Palestine,CONDEMNS RUSSIA
Panama,UNHAPPY
Papua New Guinea,UNHAPPY
Paraguay,UNHAPPY
Peru,UNHAPPY
Philippines,UNHAPPY
Poland,CONDEMNS RUSSIA
Portugal,CONDEMNS RUSSIA
Puerto Rico,CONDEMNS RUSSIA
Qatar,UNHAPPY
Romania,CONDEMNS RUSSIA
Russia,PRO RUSSIA
Rwanda,UNHAPPY
Saudi Arabia,NEUTRAL
Scotland,CONDEMNS RUSSIA
Senegal,LEANS RUSSIA
Republic of Serbia,
Sierra Leone,
Singapore,
Slovakia,
Slovenia,
Somalia,UNHAPPY
South Africa,NEUTRAL
South Korea,CONDEMNS RUSSIA
South Sudan,
Spain,CONDEMNS RUSSIA
Sri Lanka,NEUTRAL
Sudan,LEANS RUSSIA
Suriname,UNHAPPY
Sweden,CONDEMNS RUSSIA
Switzerland,CONDEMNS RUSSIA
Syria,PRO RUSSIA
Taiwan,
Tajikistan,LEANS RUSSIA
United Republic of Tanzania,NEUTRAL
Thailand,UNHAPPY
East Timor,
Togo,NEUTRAL
Trinidad and Tobago,
Tunisia,
Turkey,UNHAPPY
Turkmenistan,NEUTRAL
Uganda,
Ukraine,CONDEMNS RUSSIA
United Arab Emirates,
England,CONDEMNS RUSSIA
USA,CONDEMNS RUSSIA
Uruguay,UNHAPPY
Uzbekistan,NEUTRAL
Venezuela,PRO RUSSIA
Vietnam,NEUTRAL
Wales,CONDEMNS RUSSIA
Yemen,
Zambia,UNHAPPY
Zimbabwe,NEUTRAL
Montenegro,
New Caledonia,
Ivory Coast,
Brunei,
Antarctica,​
French Southern and Antarctic Lands,
The Bahamas,
Fiji,
Falkland Islands,
Solomon Islands,
Greenland,
Western Sahara,
Somaliland,
Swaziland,​
Vanuatu,
West Bank,
Russia, OMIT
